OG0002384	Breviolum7085	Secondary metabolites biosynthesis, transport and catabolism
OG0003305	Breviolum59258	Inorganic ion transport and metabolism
OG0000188	Breviolum34611	Inorganic ion transport and metabolism
OG0001435	Breviolum277498	Inorganic ion transport and metabolism
OG0000518	Breviolum231517	Translation, ribosomal structure and biogenesis
OG0000495	Breviolum365434	Posttranslational modification, protein turnover, chaperones
OG0007312	Breviolum46800	Posttranslational modification, protein turnover, chaperones
OG0000545	Breviolum29159	Inorganic ion transport and metabolism
OG0003721	Breviolum50731	Posttranslational modification, protein turnover, chaperones
OG0000004	Breviolum68772	Signal transduction mechanisms
OG0006839	Breviolum99081	Signal transduction mechanisms
OG0002623	Breviolum69877	RNA processing and modification
OG0001731	Breviolum19160	Secondary metabolites biosynthesis, transport and catabolism
OG0004968	Breviolum7552	Translation, ribosomal structure and biogenesis
OG0002255	Breviolum69491	Signal transduction mechanisms
OG0000752	Breviolum75046	
OG0004103	Breviolum62786	Posttranslational modification, protein turnover, chaperones
OG0000051	Breviolum9063	Posttranslational modification, protein turnover, chaperones
OG0002602	Breviolum343882	Intracellular trafficking, secretion, and vesicular transport
OG0000209	Breviolum309185	Chromatin structure and dynamics
OG0004586	Breviolum63498	Cell wall/membrane/envelope biogenesis
OG0000153	Breviolum165054	Carbohydrate transport and metabolism
OG0001066	Breviolum27902	Energy production and conversion
OG0001105	Breviolum88945	Replication, recombination and repair
OG0006129	Breviolum231119	
OG0005673	Breviolum82663	Coenzyme transport and metabolism
OG0007648	Breviolum28359	Energy production and conversion
OG0003198	Breviolum209914	
OG0000765	Breviolum62111	Posttranslational modification, protein turnover, chaperones
OG0007292	Breviolum71924	Translation, ribosomal structure and biogenesis
OG0001024	Breviolum39418	Translation, ribosomal structure and biogenesis
OG0000004	Breviolum95107	Signal transduction mechanisms
OG0007438	Breviolum348083	Posttranslational modification, protein turnover, chaperones
OG0000142	Breviolum74735	Coenzyme transport and metabolism
OG0006712	Breviolum33012	Lipid transport and metabolism
OG0000380	Breviolum350859	Translation, ribosomal structure and biogenesis
OG0000612	Breviolum38509	Translation, ribosomal structure and biogenesis
OG0004527	Breviolum94084	Defense mechanisms
OG0005282	Breviolum226722	Energy production and conversion
OG0006630	Breviolum173068	Intracellular trafficking, secretion, and vesicular transport
OG0005223	Breviolum62463	Signal transduction mechanisms
OG0001854	Breviolum19588	RNA processing and modification
OG0005437	Breviolum91603	Replication, recombination and repair
OG0002471	Breviolum18997	Translation, ribosomal structure and biogenesis
OG0000847	Breviolum182504	Inorganic ion transport and metabolism
OG0002086	Breviolum251179	Energy production and conversion
OG0004416	Breviolum58759	Intracellular trafficking, secretion, and vesicular transport
OG0003413	Breviolum404955	Coenzyme transport and metabolism
OG0004976	Breviolum348045	Amino acid transport and metabolism
OG0004344	Breviolum69750	Inorganic ion transport and metabolism
OG0004628	Breviolum208454	Nucleotide transport and metabolism
OG0004860	Breviolum72797	Signal transduction mechanisms
OG0002594	Breviolum20476	
OG0001261	Breviolum304695	Inorganic ion transport and metabolism
OG0007644	Breviolum48850	Replication, recombination and repair
OG0000832	Breviolum78355	Carbohydrate transport and metabolism
OG0006780	Breviolum98850	Nucleotide transport and metabolism
OG0003433	Breviolum344097	
OG0000006	Breviolum228933	Secondary metabolites biosynthesis, transport and catabolism
OG0005699	Breviolum32395	Posttranslational modification, protein turnover, chaperones
OG0001487	Breviolum181904	Signal transduction mechanisms
OG0003138	Breviolum88647	Transcription
OG0004716	Breviolum20968	Translation, ribosomal structure and biogenesis
OG0000467	Breviolum95049	Posttranslational modification, protein turnover, chaperones
OG0000067	Breviolum21578	Posttranslational modification, protein turnover, chaperones
OG0000058	Breviolum75417	Cytoskeleton
OG0000970	Breviolum69607	
OG0001641	Breviolum226665	Replication, recombination and repair
OG0000082	Breviolum7409	Carbohydrate transport and metabolism
OG0005631	Breviolum228403	Replication, recombination and repair
OG0002589	Breviolum2238	Posttranslational modification, protein turnover, chaperones
OG0005410	Breviolum350519	
OG0001385	Breviolum62955	Posttranslational modification, protein turnover, chaperones
OG0000052	Breviolum345875	Signal transduction mechanisms
OG0001285	Breviolum88431	RNA processing and modification
OG0000171	Breviolum41377	Carbohydrate transport and metabolism
OG0000060	Breviolum78499	Carbohydrate transport and metabolism
OG0000924	Breviolum34336	
OG0004101	Breviolum51072	Signal transduction mechanisms
OG0006319	Breviolum389439	Amino acid transport and metabolism
OG0000108	Breviolum228919	Posttranslational modification, protein turnover, chaperones
OG0003055	Breviolum95311	Energy production and conversion
OG0006321	Breviolum69446	Posttranslational modification, protein turnover, chaperones
OG0003786	Breviolum208359	Translation, ribosomal structure and biogenesis
OG0003272	Breviolum97111	Posttranslational modification, protein turnover, chaperones
OG0000593	Breviolum243718	Translation, ribosomal structure and biogenesis
OG0005515	Breviolum185198	Cytoskeleton
OG0002850	Breviolum5002	Cytoskeleton
OG0005287	Breviolum47851	Signal transduction mechanisms
OG0002509	Breviolum243798	RNA processing and modification
OG0000195	Breviolum185992	Signal transduction mechanisms
OG0006533	Breviolum205966	Translation, ribosomal structure and biogenesis
OG0006584	Breviolum93990	Inorganic ion transport and metabolism
OG0000740	Breviolum346078	RNA processing and modification
OG0000333	Breviolum382827	Carbohydrate transport and metabolism
OG0000913	Breviolum308586	Intracellular trafficking, secretion, and vesicular transport
OG0002263	Breviolum230297	Translation, ribosomal structure and biogenesis
OG0004922	Breviolum394355	RNA processing and modification
OG0002637	Breviolum31881	Posttranslational modification, protein turnover, chaperones
OG0005938	Breviolum230439	Intracellular trafficking, secretion, and vesicular transport
OG0001933	Breviolum386380	
OG0000106	Breviolum49029	Energy production and conversion
OG0004019	Breviolum55108	Cell cycle control, cell division, chromosome partitioning
OG0001339	Breviolum232416	Signal transduction mechanisms
OG0000467	Breviolum198132	Posttranslational modification, protein turnover, chaperones
OG0000472	Breviolum179206	Translation, ribosomal structure and biogenesis
OG0006666	Breviolum72567	Replication, recombination and repair
OG0002562	Breviolum59362	Posttranslational modification, protein turnover, chaperones
OG0000370	Breviolum268447	Intracellular trafficking, secretion, and vesicular transport
OG0000190	Breviolum275472	Defense mechanisms
OG0003040	Breviolum171742	Secondary metabolites biosynthesis, transport and catabolism
OG0001417	Breviolum206406	RNA processing and modification
OG0000084	Breviolum230712	Translation, ribosomal structure and biogenesis
OG0006382	Breviolum348864	Replication, recombination and repair
OG0000237	Breviolum271752	Signal transduction mechanisms
OG0001620	Breviolum344470	Carbohydrate transport and metabolism
