Orthogroup	Protein_symB	Protein_symD
OG0000000	Breviolum68565	Durusdinium31716
OG0000000	Breviolum206718	Durusdinium27304
OG0000000	Breviolum56063	Durusdinium27304
OG0000000	Breviolum68509	Durusdinium27304
OG0000000	Breviolum306945	Durusdinium29916
OG0000000	Breviolum174028	Durusdinium29916
OG0000000	Breviolum245011	Durusdinium29916
OG0000000	Breviolum360978	Durusdinium29916
OG0000000	Breviolum91322	Durusdinium29916
OG0000000	Breviolum310657	Durusdinium29916
OG0000000	Breviolum21582	Durusdinium29916
OG0000000	Breviolum82087	Durusdinium29916
OG0000000	Breviolum18042	Durusdinium29916
OG0000000	Breviolum17682	Durusdinium29916
OG0000000	Breviolum358695	Durusdinium29916
OG0000000	Breviolum40298	Durusdinium29916
OG0000000	Breviolum362919	Durusdinium29916
OG0000000	Breviolum315317	Durusdinium29916
OG0000000	Breviolum52286	Durusdinium29916
OG0000000	Breviolum21130	Durusdinium29916
OG0000000	Breviolum28861	Durusdinium50751
OG0000000	Breviolum88694	Durusdinium50751
OG0000000	Breviolum98774	Durusdinium50751
OG0000000	Breviolum305376	Durusdinium50751
OG0000000	Breviolum32382	Durusdinium50751
OG0000000	Breviolum42880	Durusdinium50751
OG0000000	Breviolum91511	Durusdinium50751
OG0000000	Breviolum49885	Durusdinium45153
OG0000000	Breviolum403798	Durusdinium45153
OG0000000	Breviolum80549	Durusdinium45153
OG0000000	Breviolum27284	Durusdinium45153
OG0000000	Breviolum313254	Durusdinium45153
OG0000000	Breviolum387775	Durusdinium45153
OG0000000	Breviolum40557	Durusdinium45153
OG0000000	Breviolum235993	Durusdinium35203
OG0000000	Breviolum34356	Durusdinium35203
OG0000000	Breviolum54129	Durusdinium35203
OG0000000	Breviolum28881	Durusdinium35203
OG0000000	Breviolum302721	Durusdinium35203
OG0000000	Breviolum52801	Durusdinium35203
OG0000000	Breviolum312425	Durusdinium35203
OG0000000	Breviolum211694	Durusdinium35203
OG0000000	Breviolum29821	Durusdinium35203
OG0000000	Breviolum73212	Durusdinium35203
OG0000000	Breviolum177458	Durusdinium35203
OG0000000	Breviolum20890	Durusdinium35203
OG0000000	Breviolum80823	Durusdinium35203
OG0000000	Breviolum302557	Durusdinium35203
OG0000000	Breviolum347653	Durusdinium35203
OG0000000	Breviolum74152	Durusdinium35203
OG0000000	Breviolum308779	Durusdinium27789
OG0000000	Breviolum62295	Durusdinium27789
OG0000000	Breviolum62662	Durusdinium27789
OG0000000	Breviolum189784	Durusdinium27789
OG0000000	Breviolum37509	Durusdinium27789
OG0000000	Breviolum229879	Durusdinium27789
OG0000000	Breviolum392788	Durusdinium27789
OG0000000	Breviolum348924	Durusdinium27789
OG0000000	Breviolum230375	Durusdinium27789
OG0000000	Breviolum43970	Durusdinium27789
OG0000000	Breviolum55320	Durusdinium27789
OG0000000	Breviolum72433	Durusdinium27789
OG0000000	Breviolum349181	Durusdinium27789
OG0000001	Breviolum364004	Durusdinium36935
OG0000001	Breviolum271833	Durusdinium34122
OG0000001	Breviolum386174	Durusdinium34122
OG0000001	Breviolum38881	Durusdinium34122
OG0000001	Breviolum56029	Durusdinium34122
OG0000001	Breviolum75029	Durusdinium34122
OG0000001	Breviolum253688	Durusdinium34122
OG0000001	Breviolum283740	Durusdinium34122
OG0000001	Breviolum18048	Durusdinium34122
OG0000001	Breviolum319433	Durusdinium34122
OG0000001	Breviolum390609	Durusdinium34122
OG0000001	Breviolum267424	Durusdinium28612
OG0000001	Breviolum61397	Durusdinium28612
OG0000001	Breviolum49786	Durusdinium28612
OG0000001	Breviolum352116	Durusdinium46331
OG0000001	Breviolum300741	Durusdinium46331
OG0000001	Breviolum53420	Durusdinium46331
OG0000001	Breviolum24908	Durusdinium46331
OG0000001	Breviolum32977	Durusdinium46331
OG0000001	Breviolum359142	Durusdinium46331
OG0000001	Breviolum235027	Durusdinium46331
OG0000001	Breviolum2560	Durusdinium46331
OG0000001	Breviolum398357	Durusdinium46331
OG0000001	Breviolum335713	Durusdinium46331
OG0000001	Breviolum211725	Durusdinium46331
OG0000001	Breviolum232029	Durusdinium46331
OG0000001	Breviolum27671	Durusdinium46331
OG0000001	Breviolum82133	Durusdinium46331
OG0000001	Breviolum307097	Durusdinium46331
OG0000001	Breviolum7637	Durusdinium46331
OG0000001	Breviolum400275	Durusdinium46331
OG0000001	Breviolum26597	Durusdinium46331
OG0000001	Breviolum356351	Durusdinium46331
OG0000001	Breviolum333677	Durusdinium46331
OG0000001	Breviolum43865	Durusdinium46331
OG0000001	Breviolum251764	Durusdinium46331
OG0000001	Breviolum27848	Durusdinium46331
OG0000001	Breviolum213354	Durusdinium46331
OG0000001	Breviolum404854	Durusdinium46331
OG0000001	Breviolum2730	Durusdinium46331
OG0000001	Breviolum387065	Durusdinium46331
OG0000001	Breviolum313117	Durusdinium46331
OG0000001	Breviolum70138	Durusdinium46331
OG0000001	Breviolum390329	Durusdinium46331
OG0000001	Breviolum249073	Durusdinium46331
OG0000001	Breviolum18755	Durusdinium46331
OG0000001	Breviolum314881	Durusdinium46331
OG0000001	Breviolum27710	Durusdinium46331
OG0000001	Breviolum306370	Durusdinium46331
OG0000001	Breviolum18506	Durusdinium46331
OG0000001	Breviolum232160	Durusdinium46331
OG0000001	Breviolum242522	Durusdinium46331
OG0000001	Breviolum368665	Durusdinium46331
OG0000001	Breviolum360422	Durusdinium46331
OG0000001	Breviolum321987	Durusdinium46331
OG0000001	Breviolum47963	Durusdinium46331
OG0000001	Breviolum236279	Durusdinium46331
OG0000001	Breviolum22711	Durusdinium46331
OG0000001	Breviolum390501	Durusdinium46331
OG0000001	Breviolum63428	Durusdinium46331
OG0000001	Breviolum237727	Durusdinium46331
OG0000001	Breviolum355327	Durusdinium46331
OG0000001	Breviolum26395	Durusdinium46331
OG0000001	Breviolum318376	Durusdinium46331
OG0000001	Breviolum19626	Durusdinium46331
OG0000001	Breviolum328882	Durusdinium46331
OG0000001	Breviolum414332	Durusdinium46331
OG0000001	Breviolum71198	Durusdinium46331
OG0000001	Breviolum48487	Durusdinium46331
OG0000001	Breviolum211591	Durusdinium46331
OG0000001	Breviolum270869	Durusdinium46331
OG0000001	Breviolum215690	Durusdinium46331
OG0000001	Breviolum19252	Durusdinium46331
OG0000001	Breviolum253104	Durusdinium46331
OG0000001	Breviolum362471	Durusdinium46331
OG0000001	Breviolum386797	Durusdinium46331
OG0000001	Breviolum17311	Durusdinium46331
OG0000001	Breviolum166638	Durusdinium46331
OG0000001	Breviolum19224	Durusdinium46331
OG0000001	Breviolum238710	Durusdinium46331
OG0000001	Breviolum268268	Durusdinium46331
OG0000001	Breviolum352277	Durusdinium46331
OG0000001	Breviolum318516	Durusdinium46331
OG0000001	Breviolum99978	Durusdinium46331
OG0000001	Breviolum288634	Durusdinium46331
OG0000001	Breviolum31286	Durusdinium46331
OG0000001	Breviolum37619	Durusdinium46331
OG0000001	Breviolum181975	Durusdinium46331
OG0000001	Breviolum291730	Durusdinium46331
OG0000001	Breviolum396989	Durusdinium46331
OG0000001	Breviolum58542	Durusdinium46331
OG0000001	Breviolum57712	Durusdinium46331
OG0000001	Breviolum365263	Durusdinium46331
OG0000001	Breviolum303249	Durusdinium46331
OG0000001	Breviolum385702	Durusdinium46331
OG0000001	Breviolum353911	Durusdinium46331
OG0000001	Breviolum269710	Durusdinium46331
OG0000001	Breviolum230402	Durusdinium46331
OG0000001	Breviolum5560	Durusdinium46331
OG0000001	Breviolum394356	Durusdinium46331
OG0000002	Breviolum345495	Durusdinium39562
OG0000002	Breviolum320114	Durusdinium45309
OG0000002	Breviolum320114	Durusdinium39574
OG0000002	Breviolum320114	Durusdinium17770
OG0000002	Breviolum320114	Durusdinium18577
OG0000002	Breviolum320114	Durusdinium37547
OG0000002	Breviolum320114	Durusdinium36911
OG0000002	Breviolum73043	Durusdinium23467
OG0000002	Breviolum73043	Durusdinium34867
OG0000002	Breviolum73043	Durusdinium123
OG0000002	Breviolum73043	Durusdinium17238
OG0000002	Breviolum73043	Durusdinium19515
OG0000002	Breviolum73043	Durusdinium38564
OG0000002	Breviolum73043	Durusdinium35667
OG0000002	Breviolum73043	Durusdinium30126
OG0000002	Breviolum73043	Durusdinium33288
OG0000002	Breviolum73043	Durusdinium27925
OG0000002	Breviolum73043	Durusdinium34472
OG0000002	Breviolum73043	Durusdinium30876
OG0000002	Breviolum73043	Durusdinium2509
OG0000002	Breviolum73043	Durusdinium30882
OG0000002	Breviolum73043	Durusdinium30527
OG0000002	Breviolum73043	Durusdinium27572
OG0000002	Breviolum73043	Durusdinium39126
OG0000002	Breviolum73043	Durusdinium27395
OG0000002	Breviolum73043	Durusdinium37845
OG0000002	Breviolum73043	Durusdinium30229
OG0000002	Breviolum73043	Durusdinium22409
OG0000002	Breviolum73043	Durusdinium34763
OG0000002	Breviolum73043	Durusdinium40284
OG0000002	Breviolum73043	Durusdinium29966
OG0000002	Breviolum73043	Durusdinium29247
OG0000002	Breviolum73043	Durusdinium32104
OG0000002	Breviolum73043	Durusdinium7825
OG0000002	Breviolum73043	Durusdinium23734
OG0000002	Breviolum73043	Durusdinium14829
OG0000002	Breviolum73043	Durusdinium38099
OG0000002	Breviolum73043	Durusdinium37259
OG0000002	Breviolum73043	Durusdinium40775
OG0000002	Breviolum73043	Durusdinium40250
OG0000002	Breviolum73043	Durusdinium15449
OG0000002	Breviolum73043	Durusdinium39012
OG0000002	Breviolum73043	Durusdinium24357
OG0000002	Breviolum73043	Durusdinium24232
OG0000002	Breviolum73043	Durusdinium26622
OG0000002	Breviolum73043	Durusdinium37558
OG0000002	Breviolum73043	Durusdinium33224
OG0000002	Breviolum73043	Durusdinium40430
OG0000002	Breviolum73043	Durusdinium30970
