Breviolum81386	K19678
Breviolum310742	K00799
Breviolum156671	K11703
Breviolum77356	K08857
Breviolum13724	K02866
Breviolum156226	K09828
Breviolum276391	K08994
Breviolum86276	K18726
Breviolum16432	K08857
Breviolum160260	K06711
Breviolum103218	K14850
Breviolum311024	K22991
Breviolum136719	K01758
Breviolum69276	K17943
Breviolum240013	K08857
Breviolum279569	K14312
Breviolum104813	K04954
Breviolum176085	K10380
Breviolum84292	K15043
Breviolum76468	K23456
Breviolum76832	K17686
Breviolum142252	K08912
Breviolum46418	K12389
Breviolum217248	K13412
Breviolum46171	K00760
Breviolum246334	K00476
Breviolum80593	K15111
Breviolum78376	K02708
Breviolum67475	K05282
Breviolum58932	K01324
Breviolum79669	K00472
Breviolum133808	K09553
Breviolum55091	K00116
Breviolum138650	K11989
Breviolum56655	K05794
Breviolum56585	K16608
Breviolum39611	K10408
Breviolum109415	K25554
Breviolum282070	K18458
Breviolum173858	K15429
Breviolum55231	K01210
Breviolum55277	K05275
Breviolum78975	K03321
Breviolum85288	K08869
Breviolum156687	K06443
Breviolum58849	K03816
Breviolum17071	K10380
Breviolum37836	K10597
Breviolum34612	K05658
Breviolum42501	K10485
Breviolum61454	K12820
Breviolum82417	K14141
Breviolum80399	K02335
Breviolum54055	K14415
Breviolum139797	K09499
Breviolum91275	K18059
Breviolum158199	K12440
Breviolum45467	K11165
Breviolum312355	K20877
Breviolum277516	K07652
Breviolum23055	K19225
Breviolum210613	K03854
Breviolum79206	K17914
Breviolum56451	K22762
Breviolum156209	K13412
Breviolum16079	K06133
Breviolum69936	K12852
Breviolum46194	K11253
Breviolum102764	K04373
Breviolum89747	K10589
Breviolum248306	K11175
Breviolum77190	K20028
Breviolum58973	K00133
Breviolum155148	K04371
Breviolum82007	K22132
Breviolum27908	K12132
Breviolum46614	K19757
Breviolum16928	K04840
Breviolum56119	K14944
Breviolum109070	K26087
Breviolum18942	K17541
Breviolum143083	K14376
Breviolum57051	K18327
Breviolum16293	K22763
Breviolum78928	K20285
Breviolum115272	K01284
Breviolum79399	K01076
Breviolum238373	K17767
Breviolum158036	K00464
Breviolum84714	K14338
Breviolum204865	K06974
Breviolum239848	K03438
Breviolum57006	K03924
Breviolum239641	K23564
Breviolum157776	K18932
Breviolum142734	K03232
Breviolum57814	K11978
Breviolum73363	K14554
Breviolum205051	K10408
Breviolum66810	K04841
Breviolum91437	K17497
Breviolum95946	K00327
Breviolum111307	K14794
Breviolum172849	K08799
Breviolum108320	K03165
Breviolum55004	K10260
Breviolum58643	K01490
Breviolum86282	K20222
Breviolum90484	K12440
Breviolum272251	K00130
Breviolum104091	K25607
Breviolum138955	K05665
Breviolum76517	K24029
Breviolum242660	K14776
Breviolum69519	K00274
Breviolum131486	K21806
Breviolum94053	K14381
Breviolum75907	K08582
Breviolum14422	K01802
Breviolum140300	K07376
Breviolum156761	K01188
Breviolum64161	K04955
Breviolum103044	K11254
Breviolum136283	K02551
Breviolum148993	K10645
Breviolum149545	K01128
Breviolum56804	K09628
Breviolum118306	K08220
Breviolum106193	K00761
Breviolum209957	K10580
Breviolum237974	K03768
Breviolum156448	K02867
Breviolum133740	K05610
Breviolum60419	K24512
Breviolum20023	K11068
Breviolum53534	K15198
Breviolum109469	K22745
Breviolum5436	K03424
Breviolum24596	K00726
Breviolum271090	K10461
Breviolum24506	K21814
Breviolum80334	K10358
Breviolum75114	K01945
Breviolum188349	K13719
Breviolum242832	K15779
Breviolum174921	K10380
Breviolum57808	K10664
Breviolum175604	K06948
Breviolum218898	K03978
Breviolum179412	K20175
Breviolum311016	K10534
Breviolum58204	K20346
Breviolum306040	K05539
Breviolum146534	K03283
Breviolum275568	K10380
Breviolum247560	K04771
Breviolum126326	K26157
Breviolum79792	K00931
Breviolum57628	K16219
Breviolum39864	K12492
Breviolum208659	K00107
Breviolum146270	K05349
Breviolum248760	K03549
Breviolum58950	K09514
Breviolum207883	K14079
Breviolum274033	K03686
Breviolum117309	K09489
Breviolum51855	K01379
Breviolum158220	K03768
Breviolum253872	K12623
Breviolum45013	K02523
Breviolum175701	K02731
Breviolum9953	K10949
Breviolum86200	K14326
Breviolum109619	K08585
Breviolum107973	K15216
Breviolum68265	K00067
Breviolum62067	K10860
Breviolum179442	K06689
Breviolum82815	K13761
Breviolum84739	K03686
Breviolum69808	K15095
Breviolum76365	K06188
Breviolum137692	K13412
Breviolum155859	K22324
Breviolum28179	K04371
Breviolum173197	K08281
Breviolum83570	K22763
Breviolum32703	K12132
Breviolum58694	K02685
Breviolum83933	K03772
Breviolum77632	K19503
Breviolum84991	K17570
Breviolum21992	K06928
Breviolum65172	K10455
Breviolum226610	K00710
Breviolum239179	K05849
Breviolum95339	K10860
Breviolum247362	K01872
Breviolum15424	K15378
Breviolum151042	K08857
Breviolum177950	K00477
Breviolum40094	K25587
Breviolum102976	K03031
Breviolum86954	K16608
Breviolum177908	K05757
Breviolum44251	K12118
Breviolum72986	K07376
Breviolum60131	K16546
Breviolum164423	K20291
Breviolum61420	K07376
Breviolum69559	K08333
Breviolum139693	K20028
Breviolum150294	K12835
Breviolum16559	K03686
Breviolum16060	K10408
Breviolum207953	K15272
Breviolum252486	K11407
Breviolum143644	K04892
Breviolum67293	K13984
Breviolum64264	K20029
Breviolum85752	K11827
Breviolum14802	K11717
Breviolum128308	K00991
Breviolum154062	K04460
Breviolum158056	K03453
Breviolum64941	K08869
Breviolum86222	K21993
Breviolum120494	K17458
Breviolum207862	K01974
Breviolum56971	K01338
Breviolum138584	K12856
Breviolum67717	K11188
Breviolum31979	K07151
Breviolum176635	K06180
Breviolum172569	K01661
Breviolum130329	K01883
Breviolum149923	K17278
Breviolum73071	K13412
Breviolum76670	K01081
Breviolum156925	K03327
Breviolum66943	K08334
Breviolum19578	K09941
Breviolum20740	K09539
Breviolum212504	K07115
Breviolum113289	K22824
Breviolum130397	K00819
Breviolum311385	K03841
Breviolum57461	K13412
Breviolum100987	K08151
Breviolum31315	K01613
Breviolum24962	K09567
Breviolum110582	K25767
Breviolum84888	K22755
Breviolum91942	K18826
Breviolum187128	K16462
Breviolum173496	K11262
Breviolum40769	K01166
Breviolum40990	K01555
Breviolum155802	K18417
Breviolum18879	K08776
Breviolum282486	K09571
Breviolum140692	K24982
Breviolum158735	K00558
Breviolum51266	K10629
Breviolum49265	K10597
Breviolum64634	K03773
Breviolum86317	K06861
Breviolum239852	K00003
Breviolum85437	K14457
Breviolum46511	K18010
Breviolum69229	K08220
Breviolum83146	K00645
Breviolum44239	K09958
Breviolum16902	K04371
Breviolum240241	K04799
Breviolum41108	K00953
Breviolum86837	K00545
Breviolum182168	K23002
Breviolum148338	K01834
Breviolum180188	K16290
Breviolum53231	K00600
Breviolum57413	K00387
Breviolum174186	K02134
Breviolum19588	K03539
Breviolum84168	K03362
Breviolum56364	K19704
Breviolum88881	K15104
Breviolum54159	K13412
Breviolum117005	K18912
Breviolum92222	K17943
Breviolum3976	K01142
Breviolum139626	K01915
Breviolum58222	K17616
Breviolum211145	K15210
Breviolum182203	K22866
Breviolum59162	K17499
Breviolum282215	K00545
Breviolum157367	K00111
Breviolum208718	K08151
Breviolum108251	K16606
Breviolum161135	K06630
Breviolum82072	K21989
Breviolum46566	K09864
Breviolum65214	K08606
Breviolum86281	K02069
Breviolum88514	K03294
Breviolum101851	K07374
Breviolum94395	K14442
Breviolum49510	K03761
Breviolum85164	K10260
Breviolum51295	K12440
Breviolum172453	K17339
Breviolum121419	K12443
Breviolum95889	K05658
Breviolum157316	K04461
Breviolum91855	K04910
Breviolum141059	K11968
Breviolum109924	K12410
Breviolum22476	K25532
Breviolum93359	K01845
Breviolum21700	K03426
Breviolum46358	K02935
Breviolum112478	K01079
Breviolum158747	K17943
Breviolum107075	K06176
Breviolum271045	K03097
Breviolum237535	K18442
Breviolum45804	K03686
Breviolum72852	K02945
Breviolum124080	K03671
Breviolum60107	K10465
Breviolum50226	K14819
Breviolum112513	K03320
Breviolum122898	K11251
Breviolum127035	K01202
Breviolum117529	K04688
Breviolum159210	K08869
Breviolum75155	K06027
Breviolum82603	K21989
Breviolum44539	K01517
Breviolum210178	K01176
Breviolum75163	K00254
Breviolum206550	K17506
Breviolum74004	K16302
Breviolum80802	K16726
Breviolum54458	K12132
Breviolum110557	K08826
Breviolum15503	K14554
Breviolum104577	K17964
Breviolum80511	K02206
Breviolum83031	K05766
Breviolum276605	K20179
Breviolum151461	K03294
Breviolum76346	K04437
Breviolum204997	K15085
Breviolum54446	K08073
Breviolum94893	K10960
Breviolum62313	K08056
Breviolum208478	K08582
Breviolum59853	K15109
Breviolum135289	K08568
Breviolum138442	K14815
Breviolum98362	K10380
Breviolum95351	K11481
Breviolum55568	K20417
Breviolum14259	K00972
Breviolum15459	K10380
Breviolum278922	K15377
Breviolum31014	K00088
Breviolum92548	K24523
Breviolum285090	K05681
Breviolum281365	K01802
Breviolum210280	K02951
Breviolum51068	K21760
Breviolum51207	K01076
Breviolum116641	K21866
Breviolum279704	K14826
Breviolum242085	K03762
Breviolum84384	K10799
Breviolum57835	K08288
Breviolum72961	K01093
Breviolum281590	K04459
Breviolum15470	K00706
Breviolum134459	K00472
Breviolum118164	K04345
Breviolum94624	K12888
Breviolum84215	K04908
Breviolum274073	K26222
Breviolum205881	K01214
Breviolum61730	K23330
Breviolum99792	K03941
Breviolum158875	K16282
Breviolum81676	K01267
Breviolum84774	K10407
Breviolum102192	K11811
Breviolum64985	K13412
Breviolum80298	K08884
Breviolum274846	K10380
Breviolum241534	K14079
Breviolum50578	K03715
Breviolum74880	K08864
Breviolum101304	K08869
Breviolum244656	K14007
Breviolum173888	K22074
Breviolum118143	K01809
Breviolum57946	K12820
Breviolum37967	K07466
Breviolum107305	K16602
Breviolum277906	K02112
Breviolum23457	K00344
Breviolum39790	K02371
Breviolum65010	K03686
Breviolum74707	K08994
Breviolum39254	K12132
Breviolum217584	K20184
Breviolum125668	K05658
Breviolum156104	K08288
Breviolum84979	K10408
Breviolum246475	K12611
Breviolum241415	K24512
Breviolum272811	K14445
Breviolum76383	K09580
Breviolum173515	K07934
Breviolum273166	K13088
Breviolum142992	K14816
Breviolum207436	K13202
Breviolum95322	K10754
Breviolum248321	K19327
Breviolum180623	K17710
Breviolum242688	K03283
Breviolum104103	K12822
Breviolum238836	K14026
Breviolum237550	K11744
Breviolum80806	K19029
Breviolum45358	K22378
Breviolum148438	K07436
Breviolum61294	K22940
Breviolum37667	K17630
Breviolum48225	K01135
Breviolum69219	K03119
Breviolum209561	K05000
Breviolum1601	K00615
Breviolum52897	K16726
Breviolum26298	K21862
Breviolum112395	K05546
Breviolum94886	K24148
Breviolum60084	K10900
Breviolum24265	K03178
Breviolum103551	K03686
Breviolum10180	K23518
Breviolum206398	K09013
Breviolum73536	K17341
Breviolum90680	K02183
Breviolum243142	K10380
Breviolum117081	K00889
Breviolum126035	K11253
Breviolum240492	K06130
Breviolum238859	K05016
Breviolum243708	K17916
Breviolum98024	K15013
Breviolum19556	K13412
Breviolum173699	K00140
Breviolum121152	K03253
Breviolum44279	K11494
Breviolum42308	K05012
Breviolum61234	K18059
Breviolum163836	K06180
Breviolum130695	K24468
Breviolum205682	K04739
Breviolum133799	K04082
Breviolum80406	K00556
Breviolum78421	K11594
Breviolum273394	K01784
Breviolum67464	K08369
Breviolum141929	K00665
Breviolum76224	K12823
Breviolum79208	K13412
Breviolum16038	K08960
Breviolum54848	K08582
Breviolum240632	K08869
Breviolum119993	K15083
Breviolum75641	K24936
Breviolum93424	K10799
Breviolum44292	K18465
Breviolum21283	K12447
Breviolum77681	K00121
Breviolum69285	K01265
Breviolum68972	K04414
Breviolum270988	K14990
Breviolum90673	K19525
Breviolum310412	K10896
Breviolum137506	K03233
Breviolum281554	K01076
Breviolum239295	K15866
Breviolum92390	K08857
Breviolum52230	K12430
Breviolum177163	K01693
Breviolum179011	K23953
Breviolum5587	K06221
Breviolum62526	K00726
Breviolum125196	K16889
Breviolum156793	K05658
Breviolum126492	K09578
Breviolum56688	K09580
Breviolum45114	K24469
Breviolum15808	K02258
Breviolum179848	K01438
Breviolum81077	K02912
Breviolum126318	K08292
Breviolum73237	K08716
Breviolum36364	K00812
Breviolum62799	K12132
Breviolum30235	K19801
Breviolum218444	K00861
Breviolum123075	K01637
Breviolum43717	K09571
Breviolum57052	K17614
Breviolum145445	K19225
Breviolum116637	K02941
Breviolum18258	K13619
Breviolum44728	K24761
Breviolum73874	K13984
Breviolum237228	K11209
Breviolum69297	K03762
Breviolum278559	K06947
Breviolum272489	K19500
Breviolum140163	K13412
Breviolum64771	K02863
Breviolum305885	K14683
Breviolum64996	K14777
Breviolum19023	K24685
Breviolum288742	K05284
Breviolum17064	K03217
Breviolum57393	K05849
Breviolum58906	K20890
Breviolum37205	K21848
Breviolum100983	K01379
Breviolum238114	K20028
Breviolum238779	K10444
Breviolum176759	K02183
Breviolum35110	K01112
Breviolum99827	K05293
Breviolum73215	K08316
Breviolum46666	K11085
Breviolum92421	K13126
Breviolum72993	K14326
Breviolum51852	K08139
Breviolum85169	K14379
Breviolum244483	K08827
Breviolum106290	K00472
Breviolum111178	K01969
Breviolum44417	K04043
Breviolum31664	K06147
Breviolum118883	K06228
Breviolum76764	K01135
Breviolum26129	K10408
Breviolum6029	K12132
Breviolum8405	K10860
Breviolum89701	K01759
Breviolum174423	K10380
Breviolum64420	K14724
Breviolum206196	K12968
Breviolum60157	K12581
Breviolum65721	K03778
Breviolum16437	K10380
Breviolum174683	K20305
Breviolum44250	K10380
Breviolum80232	K23719
Breviolum129519	K13412
Breviolum84838	K17766
Breviolum178716	K02959
Breviolum61909	K20151
Breviolum31845	K07759
Breviolum106886	K10260
Breviolum73624	K25647
